,Sharing,Address,Size,Provider,Receiver,Latency (ns)
369,read,0,8,5,2,29.001
370,read,0,64,5,2,29.001
371,read,1048576,64,5,2,29.001
372,write,1048576,8,5,2,32.001
373,write,1048576,64,5,2,10.251
374,write,4096,8,5,2,32.001
375,write,4096,64,5,2,10.251
376,read,4096,8,5,2,29.001
377,read,4096,64,5,2,29.001
378,write,524288,8,2,5,32.001
379,write,524288,64,2,5,21.251
380,read,524288,64,2,5,29.001
381,read,4096,64,2,5,29.001
382,read,4096,8,2,5,29.001
383,write,4096,8,2,5,32.001
384,write,4096,64,2,5,21.251
385,read,20480,8,2,5,29.001
386,read,20480,64,2,5,29.001
387,write,20480,8,2,5,32.001
388,write,20480,64,2,5,21.251
389,read,1048576,64,2,5,29.001
390,write,1048576,8,2,5,32.001
391,write,1048576,64,2,5,21.251
392,write,0,64,2,5,15.751
393,write,0,8,2,5,32.001
394,read,0,8,2,5,29.001
395,read,0,64,2,5,29.001
396,read,1048576,64,2,6,23.501
397,write,1048576,64,2,6,15.751
398,write,1048576,8,2,6,26.501
399,read,0,8,2,6,34.501
400,read,0,64,2,6,29.001
401,write,0,8,2,6,32.001
402,write,0,64,2,6,21.251
403,write,524288,8,2,6,26.501
404,write,524288,64,2,6,15.751
405,read,524288,64,2,6,23.501
406,read,20480,64,2,6,34.501
407,read,20480,8,2,6,34.501
408,write,20480,8,2,6,37.501
409,write,20480,64,2,6,26.751
410,write,4096,64,2,6,15.751
411,write,4096,8,2,6,26.501
412,read,4096,64,2,6,23.501
413,read,4096,8,2,6,23.501
414,read,524288,64,2,1,23.501
415,write,524288,64,2,1,15.751
416,write,524288,8,2,1,26.501
417,write,0,64,2,1,10.251
418,write,0,8,2,1,26.501
419,read,0,64,2,1,23.501
420,read,0,8,2,1,23.501
421,write,1048576,8,2,1,26.501
422,write,1048576,64,2,1,15.751
423,read,1048576,64,2,1,23.501
424,read,20480,64,2,1,29.001
425,read,20480,8,2,1,29.001
426,write,20480,8,2,1,32.001
427,write,20480,64,2,1,21.251
428,write,4096,64,2,1,15.751
429,write,4096,8,2,1,26.501
430,read,4096,64,2,1,23.501
431,read,4096,8,2,1,23.501
432,write,20480,64,2,3,15.751
433,write,20480,8,2,3,26.501
434,read,20480,64,2,3,23.501
435,read,20480,8,2,3,23.501
436,read,4096,8,2,3,18.001
437,read,4096,64,2,3,18.001
438,write,4096,64,2,3,10.251
439,write,4096,8,2,3,21.001
440,write,524288,64,2,3,10.251
441,write,524288,8,2,3,21.001
442,read,524288,64,2,3,18.001
443,write,1048576,64,2,3,10.251
444,write,1048576,8,2,3,21.001
445,read,1048576,64,2,3,18.001
446,read,0,8,2,3,23.501
447,read,0,64,2,3,23.501
448,write,0,8,2,3,26.501
449,write,0,64,2,3,15.751
450,write,0,64,2,4,15.751
451,write,0,8,2,4,32.001
452,read,0,64,2,4,29.001
453,read,0,8,2,4,29.001
454,read,1048576,64,2,4,29.001
455,write,1048576,8,2,4,32.001
456,write,1048576,64,2,4,21.251
457,write,20480,64,2,4,21.251
458,write,20480,8,2,4,32.001
459,read,20480,8,2,4,29.001
460,read,20480,64,2,4,29.001
461,read,524288,64,2,4,29.001
462,write,524288,64,2,4,21.251
463,write,524288,8,2,4,32.001
464,read,4096,8,2,4,29.001
465,read,4096,64,2,4,29.001
466,write,4096,64,2,4,21.251
467,write,4096,8,2,4,32.001
468,read,1048576,64,2,0,23.501
469,write,1048576,64,2,0,15.751
470,write,1048576,8,2,0,26.501
471,read,20480,64,2,0,29.001
472,read,20480,8,2,0,29.001
473,write,20480,64,2,0,21.251
474,write,20480,8,2,0,32.001
475,read,4096,8,2,0,23.501
476,read,4096,64,2,0,23.501
477,write,4096,8,2,0,26.501
478,write,4096,64,2,0,15.751
479,read,0,8,2,0,23.501
480,read,0,64,2,0,23.501
481,write,0,64,2,0,10.251
482,write,0,8,2,0,26.501
483,write,524288,64,2,0,15.751
484,write,524288,8,2,0,26.501
485,read,524288,64,2,0,23.501
486,write,20480,8,2,7,37.501
487,write,20480,64,2,7,26.751
488,read,20480,8,2,7,34.501
489,read,20480,64,2,7,34.501
490,write,524288,8,2,7,26.501
491,write,524288,64,2,7,15.751
492,read,524288,64,2,7,23.501
493,write,0,64,2,7,21.251
494,write,0,8,2,7,32.001
495,read,0,8,2,7,34.501
496,read,0,64,2,7,29.001
497,write,4096,8,2,7,26.501
498,write,4096,64,2,7,15.751
499,read,4096,8,2,7,23.501
500,read,4096,64,2,7,23.501
501,read,1048576,64,2,7,23.501
502,write,1048576,64,2,7,15.751
503,write,1048576,8,2,7,26.501
504,write,0,64,0,4,15.751
505,write,0,8,0,4,26.501
506,read,0,64,0,4,23.501
507,read,0,8,0,4,29.001
508,write,20480,8,0,4,37.501
509,write,20480,64,0,4,21.251
510,read,20480,8,0,4,34.501
511,read,20480,64,0,4,34.501
512,write,524288,8,0,4,32.001
513,write,524288,64,0,4,21.251
514,read,524288,64,0,4,29.001
515,read,4096,64,0,4,29.001
516,read,4096,8,0,4,29.001
517,write,4096,64,0,4,21.251
518,write,4096,8,0,4,32.001
519,read,1048576,64,0,4,29.001
520,write,1048576,64,0,4,21.251
521,write,1048576,8,0,4,32.001
522,write,20480,64,0,3,15.751
523,write,20480,8,0,3,32.001
524,read,20480,8,0,3,29.001
525,read,20480,64,0,3,29.001
526,read,524288,64,0,3,23.501
527,write,524288,8,0,3,26.501
528,write,524288,64,0,3,10.251
529,write,4096,64,0,3,10.251
530,write,4096,8,0,3,26.501
531,read,4096,64,0,3,23.501
532,read,4096,8,0,3,23.501
533,write,1048576,64,0,3,10.251
534,write,1048576,8,0,3,26.501
535,read,1048576,64,0,3,23.501
536,read,0,64,0,3,23.501
537,read,0,8,0,3,23.501
538,write,0,8,0,3,26.501
539,write,0,64,0,3,15.751
540,read,1048576,64,0,7,29.001
541,write,1048576,64,0,7,15.751
542,write,1048576,8,0,7,32.001
543,write,4096,8,0,7,32.001
544,write,4096,64,0,7,15.751
545,read,4096,64,0,7,29.001
546,read,4096,8,0,7,29.001
547,write,524288,8,0,7,32.001
